,area,buildtime,room_num,hall_num,floor,dire,exemption of business tax,exemption of double tax,quality education,distance,loc
249,75.21,2005,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1010,59.0
250,66.0,1999,2.0,1.0,1.0,1.0,0.0,1.0,0.0,741,44.0
251,71.08,1996,2.0,2.0,3.0,2.0,0.0,1.0,0.0,5000,59.0
252,58.0,1984,2.0,1.0,2.0,1.0,0.0,1.0,1.0,5000,16.0
253,135.4,2005,5.0,3.0,3.0,1.0,0.0,1.0,1.0,647,12.0
254,84.7,2012,3.0,2.0,2.0,2.0,0.0,1.0,0.0,5000,61.0
255,61.0,2010,2.0,2.0,2.0,2.0,0.0,1.0,0.0,5000,33.0
256,106.0,2005,2.0,2.0,3.0,1.0,0.0,1.0,1.0,326,6.0
257,71.0,2013,2.0,2.0,2.0,2.0,1.0,0.0,0.0,980,32.0
258,129.56,2015,3.0,2.0,2.0,1.0,0.0,1.0,0.0,5000,10.0
259,98.4,2006,2.0,2.0,2.0,2.0,0.0,1.0,0.0,414,40.0
260,129.9,2007,3.0,2.0,2.0,1.0,0.0,1.0,0.0,450,54.0
261,70.0,2016,2.0,2.0,3.0,2.0,1.0,0.0,0.0,5000,3.0
262,115.63,2008,3.0,2.0,2.0,2.0,0.0,1.0,0.0,5000,12.0
263,89.2,2008,2.0,2.0,2.0,2.0,0.0,1.0,1.0,5000,80.0
264,28.0,2014,2.0,2.0,2.0,2.0,0.0,1.0,1.0,5000,81.0
265,77.0,2014,2.0,2.0,3.0,2.0,1.0,0.0,0.0,5000,33.0
266,340.0,2012,4.0,2.0,3.0,2.0,1.0,0.0,0.0,694,25.0
267,90.1,2012,2.0,2.0,2.0,2.0,0.0,1.0,1.0,5000,61.0
268,455.0,2006,5.0,3.0,3.0,2.0,0.0,1.0,1.0,382,13.0
269,135.2,2009,3.0,2.0,2.0,2.0,0.0,1.0,1.0,5000,82.0
270,95.0,2008,3.0,2.0,3.0,5.0,0.0,1.0,1.0,5000,61.0
271,97.8,2014,2.0,2.0,2.0,2.0,0.0,1.0,0.0,5000,70.0
272,592.0,2010,5.0,3.0,3.0,2.0,0.0,1.0,0.0,694,25.0
