area,buildtime,room_num,hall_num,floor,dire,exemption of business tax,exemption of double tax,quality education,distance,loc,price
54,1991,2,1,1,2,0,1,1,429,35,42593
77,2006,2,2,1,2,0,1,0,5000,70,28961
97.7,2004,3,2,2,1,0,1,1,5000,55,66530
72,1997,2,2,3,1,0,1,1,481,54,51389
208.11,2001,3,2,3,8,0,1,0,995,25,96055
126,2006,2,2,3,2,0,1,1,609,100,84524
117.6,2010,3,2,2,2,0,1,1,455,101,42517
99.4,2006,2,2,3,2,0,1,1,5000,89,97586
90.1,2012,2,2,2,2,0,1,1,5000,61,41953
77,2005,2,2,2,1,1,0,0,5000,33,24026
91.9,2014,3,2,2,2,1,0,1,5000,12,42437
93.9,2015,3,2,3,2,1,0,0,5000,81,38445
103,2008,3,2,1,2,0,1,0,5000,36,43689
86.4,1998,3,1,2,1,0,1,1,286,48,59028
138.6,2005,3,2,3,1,0,1,1,701,28,82973
74,2006,2,2,2,2,0,1,1,918,54,50676
197,2006,4,2,1,1,0,1,1,762,79,100000
76,2015,2,2,3,2,0,1,0,5000,61,27632
62.7,1996,2,1,2,1,0,1,1,657,41,55821
89,2010,2,2,1,2,0,1,1,5000,39,25843
105.8,2013,2,2,3,1,1,0,1,702,55,73724
90.5,2014,3,1,3,1,1,0,1,297,19,33149
77,1996,2,2,2,1,0,1,1,764,11,42727
155.8,2016,4,2,2,2,1,0,0,5000,61,55199
50.1,1991,2,1,2,1,0,1,1,656,44,49900
77,2014,2,1,3,2,0,1,0,5000,33,27273
86.32,2012,2,2,2,2,0,1,0,5000,52,41126
87.2,2014,2,2,1,6,1,0,1,5000,20,30734
77,2005,2,2,3,1,1,0,1,878,9,33506
136.1,2009,3,2,2,1,0,1,1,588,79,95445
91,1996,3,2,3,2,0,1,1,5000,77,21429
88,2009,2,2,2,3,0,1,1,5000,39,27273
291,2006,4,2,3,2,0,1,1,439,13,182131
139,2004,3,2,3,2,0,1,0,227,91,43165
40,2010,1,1,2,2,0,1,1,5000,102,24250
98,2004,3,2,3,2,0,1,0,5000,103,51020
283.93,2012,4,2,3,8,1,0,0,978,25,165499
80.82,2012,2,2,1,2,0,1,1,59,77,29201
66.51,2015,2,1,1,1,1,0,0,5000,22,26312
76,2011,2,2,1,2,0,1,0,5000,33,30000
99,2000,2,2,1,1,0,1,1,743,37,65152
82.1,1995,2,1,3,2,0,1,0,345,44,45676
53.3,1989,2,1,2,1,0,1,0,5000,35,37523
76.6,2009,1,2,3,2,0,1,1,5000,39,27415
174,2012,3,2,1,2,0,1,0,235,82,80460
105,2016,2,2,2,1,1,0,0,849,104,89333
88.91,1995,3,1,1,1,0,0,1,897,62,43752
89,2018,3,2,2,2,1,0,0,5000,7,9551
81,2014,2,1,3,2,0,1,0,5000,33,29630
79.6,2008,2,2,1,2,0,1,1,597,33,43970
175,2000,4,2,3,1,0,1,1,326,6,74286
62,1992,2,1,3,1,0,1,1,905,44,46774
301,2006,4,3,2,1,0,1,1,382,13,165448
82.94,1997,3,1,3,1,0,1,1,873,73,51845
76,1998,2,1,3,1,0,1,1,518,42,53684
105,2010,3,1,3,2,0,1,0,5000,58,15429
143,2015,3,2,2,1,0,1,0,5000,61,39301
95.2,2006,2,2,1,1,0,1,0,441,52,41807
93.86,2011,3,2,2,2,0,1,1,684,12,38248
83,2010,2,2,3,2,0,0,1,5000,39,27711
54.1,1995,2,1,3,1,0,1,0,518,105,74861
155.9,2017,3,2,3,1,0,0,0,831,89,88518
86.6,1996,3,2,2,1,0,1,1,209,75,47344
82,2000,2,1,2,1,0,1,0,236,106,76829
43.9,1996,1,1,2,1,0,0,0,5000,65,43736
76.5,2015,2,2,2,1,0,1,0,289,107,39216
86.6,2001,2,2,2,2,0,1,0,818,27,60046
62.28,2011,2,1,2,1,0,0,1,5000,65,57001
266,2002,3,2,1,1,1,0,0,783,25,142857
66,1999,2,1,1,1,0,1,0,741,44,43182
68.2,1996,2,1,3,1,0,1,1,5000,65,36657
109.2,2010,2,2,1,2,0,1,1,5000,61,33425
74.8,2013,2,2,1,2,0,1,0,5000,33,31818
83.8,2007,2,2,2,2,0,1,1,650,46,77566
113,2008,3,2,2,2,0,1,1,5000,61,35027
106.2,2015,3,2,2,2,0,1,0,5000,9,38136
80.9,2013,2,2,3,2,0,1,0,5000,36,33375
238.66,2002,3,2,3,7,1,0,0,995,25,100561
87.4,2003,2,2,2,2,0,0,0,840,26,58924
99.9,2008,2,2,2,2,0,1,1,597,74,48909
